fecha,valor
2023-03-08 13:09:30,4763.2125
2023-03-08 13:10:43,4761.475
2023-03-08 13:11:50,4762.6063
2023-03-08 13:12:10,4763.4278
2023-03-08 13:12:11,4764.185
2023-03-08 13:12:13,4765.6208
2023-03-08 13:12:14,4767.3167
2023-03-08 13:12:15,4769.9891
2023-03-08 13:12:17,4770.1484
2023-03-08 13:12:20,4770.7125
2023-03-08 13:12:21,4771.1816
2023-03-08 13:12:33,4771.4074
2023-03-08 13:14:05,4771.5827
2023-03-08 13:14:06,4771.6955
2023-03-08 13:15:03,4773.0885
2023-03-08 13:15:04,4773.3509
2023-03-08 13:15:06,4773.7035
2023-03-08 13:15:08,4774.0335
2023-03-08 13:15:14,4774.1946
2023-03-08 13:15:15,4774.5404
2023-03-08 13:15:18,4775.2527
2023-03-08 13:15:19,4775.4196
2023-03-08 13:15:20,4775.9052
2023-03-08 13:15:21,4776.0718
2023-03-08 13:15:22,4776.4495
2023-03-08 13:15:25,4776.6245
2023-03-08 13:15:26,4776.8207
2023-03-08 13:15:32,4778.9183
2023-03-08 13:15:43,4779.0389
2023-03-08 13:15:59,4779.0926
2023-03-08 13:16:02,4779.247
2023-03-08 13:16:11,4779.2766
2023-03-08 13:16:14,4779.3135
2023-03-08 13:18:33,4779.3054
2023-03-08 13:19:01,4779.3024
2023-03-08 13:19:14,4779.2701
2023-03-08 13:19:16,4779.2288
2023-03-08 13:19:20,4779.1883
2023-03-08 13:20:32,4779.1582
2023-03-08 13:20:33,4779.071
2023-03-08 13:20:55,4778.9689
2023-03-08 13:21:23,4778.8239
2023-03-08 13:22:23,4778.6084
2023-03-08 13:22:24,4778.3943
2023-03-08 13:22:25,4778.3425
2023-03-08 13:22:26,4777.9705
2023-03-08 13:22:28,4777.7703
2023-03-08 13:22:29,4777.6945
2023-03-08 13:22:30,4777.6161
2023-03-08 13:22:45,4777.0175
2023-03-08 13:22:56,4776.9555
2023-03-08 13:23:01,4776.9073
2023-03-08 13:23:11,4776.8353
2023-03-08 13:23:12,4776.759
2023-03-08 13:23:13,4776.6039
2023-03-08 13:23:14,4776.2306
2023-03-08 13:23:15,4775.4882
2023-03-08 13:23:16,4775.4255
2023-03-08 13:23:21,4775.3523
2023-03-08 13:23:22,4775.2794
2023-03-08 13:23:23,4775.2073
2023-03-08 13:23:27,4775.1303
2023-03-08 13:23:40,4775.0544
2023-03-08 13:23:43,4774.9876
2023-03-08 13:23:58,4774.9361
2023-03-08 13:24:18,4774.279
2023-03-08 13:24:30,4774.0784
2023-03-08 13:25:24,4774.031
2023-03-08 13:25:36,4773.843
2023-03-08 13:25:46,4773.6626
2023-03-08 13:25:47,4773.6099
2023-03-08 13:25:50,4773.555
2023-03-08 13:25:51,4773.4463
2023-03-08 13:25:57,4773.3903
2023-03-08 13:25:58,4773.2756
2023-03-08 13:25:59,4773.1482
2023-03-08 13:26:00,4773.0094
2023-03-08 13:26:04,4772.9389
2023-03-08 13:26:05,4772.7993
2023-03-08 13:26:06,4772.7271
2023-03-08 13:27:20,4772.6842
2023-03-08 13:27:38,4772.6487
2023-03-08 13:27:39,4772.6147
2023-03-08 13:27:40,4772.5869
2023-03-08 13:30:18,4772.5337
2023-03-08 13:30:25,4772.4702
2023-03-08 13:30:34,4772.4457
2023-03-08 13:30:37,4772.3974
