fecha,valor
2023-03-02 13:59:17,4879.5305
2023-03-02 13:59:20,4879.5462
2023-03-02 13:59:37,4879.5484
2023-03-02 13:59:49,4879.5515
2023-03-02 13:59:51,4879.5556
2023-03-02 14:00:19,4879.5577
2023-03-02 14:00:21,4879.5589
2023-03-02 14:00:22,4879.5601
2023-03-02 14:00:23,4879.5592
2023-03-02 14:00:24,4879.553
2023-03-02 14:00:35,4879.5499
2023-03-02 14:00:36,4879.5455
2023-03-02 14:00:37,4879.5433
2023-03-02 14:00:38,4879.5227
2023-03-02 14:00:39,4879.5014
2023-03-02 14:00:45,4879.4913
2023-03-02 14:00:46,4879.4878
2023-03-02 14:01:11,4879.4865
2023-03-02 14:01:27,4879.4821
2023-03-02 14:01:33,4879.4808
2023-03-02 14:01:42,4879.4774
2023-03-02 14:01:55,4879.4721
2023-03-02 14:01:58,4879.4692
2023-03-02 14:02:02,4879.4663
2023-03-02 14:02:03,4879.46
2023-03-02 14:02:04,4879.4531
2023-03-02 14:02:06,4879.4399
2023-03-02 14:02:16,4879.4378
2023-03-02 14:02:44,4879.4357
2023-03-02 14:02:45,4879.4307
2023-03-02 14:02:46,4879.4249
2023-03-02 14:02:47,4879.4194
2023-03-02 14:03:06,4879.4165
2023-03-02 14:03:08,4879.4098
2023-03-02 14:03:09,4879.4073
2023-03-02 14:03:18,4879.4052
2023-03-02 14:03:27,4879.4024
2023-03-02 14:03:28,4879.3958
2023-03-02 14:03:29,4879.3892
2023-03-02 14:03:30,4879.3755
2023-03-02 14:03:31,4879.3413
2023-03-02 14:03:33,4879.3292
2023-03-02 14:03:34,4879.3111
2023-03-02 14:03:35,4879.2983
2023-03-02 14:03:36,4879.2923
2023-03-02 14:03:37,4879.2683
2023-03-02 14:03:38,4879.2622
2023-03-02 14:03:47,4879.2587
2023-03-02 14:03:49,4879.2551
2023-03-02 14:04:02,4879.2437
2023-03-02 14:04:20,4879.241
2023-03-02 14:04:24,4879.237
2023-03-02 14:04:32,4879.2282
2023-03-02 14:04:35,4879.2222
2023-03-02 14:04:38,4879.1682
2023-03-02 14:04:40,4879.1615
2023-03-02 14:04:41,4879.1394
2023-03-02 14:04:42,4879.1244
2023-03-02 14:04:44,4879.0287
2023-03-02 14:04:45,4879.019
2023-03-02 14:05:29,4879.0103
2023-03-02 14:05:30,4879.0022
2023-03-02 14:05:31,4878.986
2023-03-02 14:05:32,4878.9599
2023-03-02 14:05:49,4878.8779
2023-03-02 14:05:51,4878.8716
2023-03-02 14:06:09,4878.8653
2023-03-02 14:06:15,4878.8365
2023-03-02 14:06:16,4878.8078
2023-03-02 14:06:28,4878.7794
2023-03-02 14:06:30,4878.7747
2023-03-02 14:06:52,4878.7702
2023-03-02 14:07:32,4878.7436
2023-03-02 14:07:33,4878.719
2023-03-02 14:07:38,4878.6901
2023-03-02 14:07:45,4878.6857
2023-03-02 14:07:47,4878.6615
2023-03-02 14:09:04,4878.6355
2023-03-02 14:09:06,4878.6098
2023-03-02 14:09:07,4878.5842
2023-03-02 14:09:11,4878.5587
2023-03-02 14:09:13,4878.5219
2023-03-02 14:11:40,4878.5191
2023-03-02 14:12:16,4878.5145
2023-03-02 14:12:56,4878.5116
2023-03-02 14:12:57,4878.5088
2023-03-02 14:13:11,4878.4774
2023-03-02 14:14:30,4878.471
2023-03-02 14:14:31,4878.4646
2023-03-02 14:14:32,4878.4435
2023-03-02 14:14:49,4878.4357
2023-03-02 14:14:51,4878.4278
2023-03-02 14:14:52,4878.4197
2023-03-02 14:14:53,4878.4115
2023-03-02 14:15:15,4878.3629
2023-03-02 14:16:13,4878.1968
2023-03-02 14:16:14,4878.1805
2023-03-02 14:16:15,4878.156
2023-03-02 14:16:16,4878.1479
2023-03-02 14:16:22,4878.1324
2023-03-02 14:16:24,4878.1264
2023-03-02 14:16:29,4878.1205
2023-03-02 14:16:46,4878.1086
2023-03-02 14:16:52,4878.0968
2023-03-02 14:16:53,4878.0614
2023-03-02 14:16:54,4878.0556
2023-03-02 14:17:02,4878.0506
2023-03-02 14:17:03,4878.0393
2023-03-02 14:17:05,4878.0349
2023-03-02 14:17:06,4878.0313
2023-03-02 14:17:38,4878.0291
2023-03-02 14:17:39,4878.0223
2023-03-02 14:17:58,4878.0208
2023-03-02 14:18:35,4878.0186
2023-03-02 14:18:37,4878.0165
2023-03-02 14:19:01,4878.013
2023-03-02 14:19:09,4878.0091
2023-03-02 14:19:12,4878.0065
2023-03-02 14:19:48,4878.0033
2023-03-02 14:19:50,4878
2023-03-02 14:19:52,4877.9961
2023-03-02 14:19:58,4877.9918
2023-03-02 14:20:34,4877.9875
2023-03-02 14:20:35,4877.9789
2023-03-02 14:21:27,4877.9692
2023-03-02 14:21:32,4877.9593
2023-03-02 14:21:42,4877.8297
2023-03-02 14:21:45,4877.6445
2023-03-02 14:21:47,4877.6092
2023-03-02 14:21:48,4877.6014
2023-03-02 14:21:50,4877.5775
2023-03-02 14:21:51,4877.5695
2023-03-02 14:21:53,4877.5428
2023-03-02 14:21:56,4877.5343
2023-03-02 14:22:07,4877.5257
2023-03-02 14:22:29,4877.4713
2023-03-02 14:22:30,4877.453
2023-03-02 14:22:31,4877.4348
2023-03-02 14:22:32,4877.4159
2023-03-02 14:22:52,4877.3964
2023-03-02 14:22:53,4877.377
2023-03-02 14:22:54,4877.3576
2023-03-02 14:22:58,4877.3479
2023-03-02 14:23:00,4877.3286
2023-03-02 14:25:26,4877.3192
2023-03-02 14:25:35,4877.302
2023-03-02 14:26:07,4877.2948
2023-03-02 14:26:59,4877.2643
