fecha,valor
2023-02-27 13:05:57,4845
2023-02-27 13:12:48,4842.5
2023-02-27 13:12:50,4839.1875
2023-02-27 13:13:21,4839.6056
2023-02-27 13:14:38,4840.2227
2023-02-27 13:14:43,4840.9577
2023-02-27 13:14:52,4841.4967
2023-02-27 13:14:54,4841.9088
2023-02-27 13:15:17,4842.3583
2023-02-27 13:15:34,4843.45
2023-02-27 13:16:26,4843.4295
2023-02-27 13:16:53,4843.5275
2023-02-27 13:17:43,4843.5065
2023-02-27 13:17:44,4843.4867
2023-02-27 13:17:46,4843.4684
2023-02-27 13:17:47,4843.4514
2023-02-27 13:17:54,4843.4357
2023-02-27 13:19:51,4843.5223
2023-02-27 13:20:31,4843.6791
2023-02-27 13:20:37,4843.8173
2023-02-27 13:20:38,4843.9399
2023-02-27 13:20:50,4843.9142
2023-02-27 13:20:56,4843.8899
2023-02-27 13:20:58,4843.8409
2023-02-27 13:20:59,4843.7502
2023-02-27 13:21:01,4843.7082
2023-02-27 13:22:26,4843.7397
2023-02-27 13:22:30,4843.7697
2023-02-27 13:22:31,4843.8175
2023-02-27 13:22:34,4843.9112
2023-02-27 13:22:35,4844.2172
2023-02-27 13:22:36,4844.2802
2023-02-27 13:22:37,4844.3795
2023-02-27 13:22:41,4844.4754
2023-02-27 13:24:35,4844.5678
2023-02-27 13:25:06,4844.5947
2023-02-27 13:27:08,4844.6216
2023-02-27 13:27:54,4844.6915
2023-02-27 13:27:57,4844.7671
2023-02-27 13:28:02,4844.845
2023-02-27 13:28:04,4844.9221
2023-02-27 13:28:05,4845.142
2023-02-27 13:30:09,4845.1414
2023-02-27 13:30:15,4845.1394
2023-02-27 13:30:21,4845.1388
2023-02-27 13:30:22,4845.1369
2023-02-27 13:30:23,4845.1351
2023-02-27 13:30:24,4845.1332
2023-02-27 13:30:58,4845.1519
2023-02-27 13:30:59,4845.1563
2023-02-27 13:31:26,4845.1543
2023-02-27 13:32:48,4845.107
2023-02-27 13:33:06,4845.0818
2023-02-27 13:33:07,4845.0572
2023-02-27 13:33:11,4845.0098
2023-02-27 13:33:12,4844.9577
2023-02-27 13:33:13,4844.904
2023-02-27 13:33:15,4844.8001
2023-02-27 13:33:16,4844.698
2023-02-27 13:33:21,4844.4649
2023-02-27 13:33:22,4844.4083
2023-02-27 13:33:23,4844.3529
2023-02-27 13:33:24,4844.0644
2023-02-27 13:33:32,4844.0442
2023-02-27 13:33:52,4843.9598
